"OVERLAP_PROXIMAL_CLOSEST_GENES"	"histotype"
"HES6"	"CCOC"
"ZBTB46"	"CCOC"
"TET3"	"CCOC"
"ZNF740"	"CCOC"
"TAL1"	"CCOC"
"HES5"	"CCOC"
"ZHX3"	"CCOC"
"ANKZF1"	"CCOC"
"HSF5"	"CCOC"
"YBX2"	"CCOC"
"TEF"	"CCOC"
"ZNF696"	"CCOC"
"FOXH1"	"CCOC"
"SALL4"	"CCOC"
"MEF2A"	"CCOC"
"TCF7L1"	"CCOC"
"ZNF552"	"CCOC"
"GTF2I"	"CCOC"
"VEZF1"	"CCOC"
"FOXC1"	"CCOC"
"HIVEP3"	"CCOC"
"ZNF524"	"CCOC"
"FIZ1"	"CCOC"
"IRF8"	"CCOC"
"TIGD5"	"CCOC"
"NACC2"	"CCOC"
"OVOL1"	"CCOC"
"IRX3"	"CCOC"
"MAFG"	"CCOC"
"CENPBD1"	"CCOC"
"HES4"	"CCOC"
"ZNF586"	"CCOC"
"ZNF587"	"CCOC"
"ZNF784"	"CCOC"
"ZNF580"	"CCOC"
"ZNF581"	"CCOC"
"ZNF865"	"CCOC"
"ZNF689"	"CCOC"
"SRCAP"	"CCOC"
"ELF2"	"CCOC"
"SETDB1"	"CCOC"
"ZNF778"	"CCOC"
"JUNB"	"EnOC"
"FOS"	"EnOC"
"IRF1"	"EnOC"
"RARA"	"EnOC"
"RFX2"	"EnOC"
"SMAD3"	"EnOC"
"KLF13"	"EnOC"
"KLF9"	"EnOC"
"ZNF217"	"EnOC"
"KLF6"	"EnOC"
"ETS1"	"EnOC"
"MNT"	"EnOC"
"FOSL2"	"EnOC"
"MEF2D"	"EnOC"
"FOXO3"	"EnOC"
"BCL6"	"EnOC"
"TGIF1"	"EnOC"
"ZBTB38"	"EnOC"
"FOXK1"	"EnOC"
"ZNF710"	"EnOC"
"BHLHE40"	"EnOC"
"NR2F2"	"EnOC"
"AKNA"	"EnOC"
"KLF7"	"EnOC"
"IRF2"	"EnOC"
"NFE2L2"	"EnOC"
"NAIF1"	"EnOC"
"RUNX1"	"EnOC"
"RERE"	"EnOC"
"UBTF"	"EnOC"
"SKI"	"EnOC"
"CSRNP1"	"EnOC"
"ZBTB7A"	"EnOC"
"SPEN"	"EnOC"
"CXXC5"	"EnOC"
"XBP1"	"EnOC"
"SPI1"	"EnOC"
"GATAD2B"	"EnOC"
"HIVEP2"	"EnOC"
"CEBPD"	"EnOC"
"SREBF1"	"EnOC"
"NFIL3"	"EnOC"
"RREB1"	"EnOC"
"ARID1A"	"EnOC"
"ID3"	"EnOC"
"NR4A2"	"EnOC"
"ZBTB1"	"EnOC"
"ZBTB25"	"EnOC"
"ARID5A"	"EnOC"
"NR1D1"	"EnOC"
"TSC22D3"	"EnOC"
"ZBTB7B"	"EnOC"
"MLXIP"	"EnOC"
"KLF10"	"EnOC"
"SP1"	"EnOC"
"CEBPB"	"EnOC"
"NFIC"	"EnOC"
"FOXO1"	"EnOC"
"ETV6"	"EnOC"
"JUND"	"EnOC"
"DOT1L"	"EnOC"
"ID2"	"EnOC"
"ELF4"	"EnOC"
"JUN"	"EnOC"
"MEIS1"	"EnOC"
"RXRA"	"EnOC"
"ERF"	"EnOC"
"MAFK"	"EnOC"
"GATAD2A"	"EnOC"
"ID1"	"EnOC"
"FOSL1"	"EnOC"
"ETS2"	"EnOC"
"RELA"	"EnOC"
"BHLHE41"	"EnOC"
"STAT6"	"EnOC"
"ZNF526"	"EnOC"
"TSHZ1"	"EnOC"
"BAZ2A"	"EnOC"
"SOX4"	"EnOC"
"HIF1A"	"EnOC"
"PAX8"	"EnOC"
"HMGA1"	"EnOC"
"SRF"	"EnOC"
"FOXR1"	"EnOC"
"LYL1"	"EnOC"
"SGSM2"	"EnOC"
"ZFP62"	"EnOC"
"HES7"	"EnOC"
"CREB3L4"	"EnOC"
"E2F2"	"EnOC"
"NR4A1"	"EnOC"
"FOSB"	"EnOC"
"ZNF792"	"EnOC"
"THRA"	"EnOC"
"TIGD3"	"EnOC"
"BCL6B"	"EnOC"
"KCMF1"	"EnOC"
"SP7"	"EnOC"
"USF1"	"EnOC"
"ZNF22"	"EnOC"
"JRKL"	"EnOC"
"PCGF2"	"EnOC"
"CAMTA2"	"EnOC"
"ZGPAT"	"EnOC"
"SLC2A4RG"	"EnOC"
"CIC"	"EnOC"
"ZNF428"	"EnOC"
"PATZ1"	"EnOC"
"THAP3"	"EnOC"
"ZBTB48"	"EnOC"
"DPF1"	"EnOC"
"ZNF114"	"EnOC"
"SNAI3"	"EnOC"
"ATF4"	"EnOC"
"ZNF213"	"EnOC"
"ZNF205"	"EnOC"
"AKAP8"	"EnOC"
"IRF3"	"EnOC"
"PRR12"	"EnOC"
"GLIS2"	"EnOC"
"TFAP4"	"EnOC"
"HIC1"	"EnOC"
"HNF1B"	"EnOC"
"HOXB6"	"EnOC"
"HOXB7"	"EnOC"
"HOXB8"	"EnOC"
"MAFF"	"EnOC"
"ELF3"	"EnOC"
"ZNF503"	"EnOC"
"SOX17"	"EnOC"
"TFAP2A"	"EnOC"
"MECOM"	"EnOC"
"HOXB5"	"EnOC"
"HES1"	"EnOC"
"RBPJL"	"EnOC"
"EMX2"	"EnOC"
"NR2F6"	"EnOC"
"HOXD10"	"EnOC"
"HOXD9"	"EnOC"
"HOXB2"	"EnOC"
"TBX2"	"EnOC"
"EHF"	"EnOC"
"AHDC1"	"EnOC"
"ZBTB4"	"EnOC"
"HOXB4"	"EnOC"
"FOXJ1"	"EnOC"
"ZNF787"	"EnOC"
"SOX13"	"EnOC"
"GMEB2"	"EnOC"
"PRRX2"	"EnOC"
"MBD6"	"EnOC"
"DDIT3"	"EnOC"
"SIX5"	"EnOC"
"GTF2IRD1"	"EnOC"
"RARG"	"EnOC"
"KLF16"	"EnOC"
"ZFHX3"	"EnOC"
"SOX12"	"EnOC"
"HOXB3"	"EnOC"
"HOXB9"	"EnOC"
"ZNF707"	"EnOC"
"DLX3"	"EnOC"
"ZNF816"	"EnOC"
"ZNF320"	"EnOC"
"HOXD4"	"EnOC"
"HOXD12"	"EnOC"
"HOXD11"	"EnOC"
"HOXD3"	"EnOC"
"HOXD13"	"EnOC"
"HOXD8"	"EnOC"
"DNMT1"	"EnOC"
"HOXB1"	"EnOC"
"TBX4"	"EnOC"
"SPZ1"	"EnOC"
"ZNF444"	"EnOC"
"HES6"	"EnOC"
"ZBTB46"	"EnOC"
"HES5"	"EnOC"
"ANKZF1"	"EnOC"
"YBX2"	"EnOC"
"FOXH1"	"EnOC"
"MEF2A"	"EnOC"
"ZNF750"	"EnOC"
"MAZ"	"EnOC"
"ZNF552"	"EnOC"
"GTF2I"	"EnOC"
"VEZF1"	"EnOC"
"HIVEP3"	"EnOC"
"TIGD5"	"EnOC"
"ZNF414"	"EnOC"
"OVOL1"	"EnOC"
"HOXD1"	"EnOC"
"POU5F1"	"EnOC"
"ZNF586"	"EnOC"
"ZNF587"	"EnOC"
"ZNF776"	"EnOC"
"NFIX"	"EnOC"
"GZF1"	"EnOC"
"KDM2A"	"EnOC"
"CASZ1"	"EnOC"
"TBX6"	"EnOC"
"TEAD3"	"EnOC"
